Control Arm,Experimental Arm,Label,Mouse OS HR,Mouse OS HR Lower 95% CI,Mouse OS HR Upper 95% CI,Human OS HR,Human OS HR Lower 95% CI,Human OS HR Upper 95% CI,Mouse Trial Reference,Human Trial Reference,Notes,Fit Predict
Untreated,Radiation,,0.016,0.00012,0.13,0.47,0.29,0.76,Leder et al. Cell 2014,Keime-Guibert et al. N Engl J Med 2007,,fit
Untreated,Radiation,,0.016,0.00012,0.13,,,,Leder et al. Cell 2014,Kristiansen et al. Cancer 1981,Insufficient data in manuscript to calculate hazard ratio,
Radiation (Standard fractionation),Hypofractionated Radiation,,0.34,0.11,1.05,0.85,0.64,1.12,Leder et al. Cell 2014,Malmstrom et al. Lancet Oncol 2012,,fit
Radiation (Standard fractionation),Hypofractionated Radiation,,0.34,0.11,1.05,0.89,0.59,1.34,Leder et al. Cell 2014,Roa et al. J Clin Oncol 2004,,fit
Radiation (Standard fractionation),Hyperfractionated Radiation,,0.52,0.17,1.17,1.1,0.86,1.4,Leder et al. Cell 2014,Prados et al. Int J Radiat Oncol Biol Phys 2001,Clinical hazard ratio from Cox model,fit
Radiation,Dose Escalated Radiation,,0.047,0.00035,0.45,0.81,0.66,0.99,Lemasson et al. Transl Oncol 2013,Bleehen et al. Br J Cancer 1991,,fit
Radiation,Radiation + Temozolomide,,0.061,0.00046,0.51,0.6,0.5,0.7,Lemasson et al. Neoplasia 2016,Stupp et al. Lancet Oncol 2009,,fit
Radiation,Radiation + Temozolomide,,0.061,0.00046,0.51,0.67,0.56,0.8,Lemasson et al. Neoplasia 2016,Perry et al. N Engl J Med 2017,,fit
Radiation,Radiation + Temozolomide,,0.061,0.00046,0.51,0.66,0.53,0.83,Lemasson et al. Neoplasia 2016,Athanassiou et al. J Clin Oncol 2005,,fit
Radiation,Radiation + Temozolomide,,0.061,0.00046,0.51,,,,Lemasson et al. Neoplasia 2016,Szczepanek et al. ﻿Neurologia i Neurochirurgia Polska 2013,Insufficient data in manuscript to calculate hazard ratio,
Temozolomide,Radiation,,2.77,1.19,6.49,1.09,0.84,1.42,Lemasson et al. Neoplasia 2016,Wick et al. Lancet Oncol 2012,,fit
Radiation,Radiation + Bevacizumab,,0.87,0.33,2.48,1.09,0.63,1.89,Pitter et al. Brain 2016,Wirsching et al. Ann Oncol 2018,,fit
Temozolomide,Temozolomide + Veliparib,TMZ + PARPi vs TMZ,0.28,0.07,0.89,,,,Lemasson et al. Neoplasia 2016,Robins et al. J Neuro-Oncol 2016,Insufficient data in manuscript to calculate hazard ratio,predict
Radiation (Standard fractionation),Optimized Radiation,Optimized RT vs Standard RT,0.27,0.04,0.3,,,,Leder et al. Cell 2014,,,predict
Radiation + Temozolomide,Radiation + Temozolomide + Veliparib,RT + TMZ + PARPi vs RT + TMZ,0.14,0.01,0.79,,,,Lemasson et al. Neoplasia 2016,,,predict
Radiation,Radiation + anti-PD-1,RT + anti-PD-1 vs RT,1.23,0.44,3.34,,,,Ene et al. Neuro-Oncol 2019,,,predict
Radiation,Radiation + anti-PD-L1,RT + anti-PD-L1 vs RT,0.35,0.12,0.96,,,,Ene et al. Neuro-Oncol 2019,,,predict
